Odmiany;Rok wyników; Typ; Rok rejestracji; Wartość browarna; Plon Ziarna a1; Plon Ziarna a2; MZT; Wyrównanie ziarna; Wysokość roślin; Dojrzałość pełna; Wyleganie; Mączniak prawdziwy; Plamistość siatkowa; Rdza jęczmienia; Rynchospiroza; Czarna plamistość; Zawartość białka
Brandon;2021;pastewny;2019;0;61,40;69,60;45,10;72;74;200;5;6;5;5;6;5;5;49,7;61,0;54,8;65,3;70,0;74,9;53,4;71,8;57,4;69,0;81,6;84,0;
Brigitta;2021;pastewny;2020;0;64,10;71,50;43,60;76;73;201;5;6;6;6;6;5;5;54,8;62,4;57,4;65,5;76,0;70,9;59,1;73,8;57,5;71,5;82,8;80,3;
Burbon;2021;pastewny;2021;0;63,90;71;46,30;77;77;200;6;6;5;5;6;6;6;51,6;57,6;54,7;66,7;74,7;72,3;57,6;71,7;58,5;74,1;81,5;84,8;
Eldorado;2021;pastewny;2018;0;61,20;69,80;45,60;74;74;200;5;6;5;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Ella;2021;pastewny;2012;0;63,10;68,50;47,20;80;75;200;5;5;6;3;5;5;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Etolie;2021;pastewny;2018;0;63,60;72,20;44,60;79;73;201;5;5;5;6;5;5;5;53,2;56,2;56,4;66,8;79,3;72,5;57,6;67,9;59,6;73,8;86,5;87,5;
Farmer;2021;pastewny;2018;0;62,90;70,40;47,20;80;75;201;8;5;5;5;5;5;6;48,3;55,9;53,7;64,3;72,1;79,3;54,5;65,4;55,7;73,3;85,6;85,1;
Feedway;2021;pastewny;2020;0;64,70;74;44,20;70;69;200;6;5;5;5;5;5;6;50,8;57,8;54,4;68,3;76,6;75,5;56,8;72,7;58,9;75,3;85,2;89,2;
Flair;2021;pastewny;2020;0;63,40;71,60;42,50;65;70;201;5;5;5;5;5;4;5;49,9;64,3;54,2;68,0;73,5;74,1;57,1;73,6;57,0;74,8;82,5;84,9;
Forman;2021;pastewny;2019;0;61,70;69,80;45,20;76;71;200;5;5;5;5;5;4;5;48,6;57,7;54,2;65,8;71,4;69,6;60,6;70,8;58,0;72,5;78,1;82,4;
Ismena;2021;pastewny;2018;0;62;70,80;45,90;79;72;200;4;5;5;4;5;5;5;51,6;56,1;48,7;67,2;71,6;75,8;58,5;69,7;56,7;71,6;77,7;87,3;
Jovita;2021;pastewny;2020;0;64,10;74,30;46;78;74;201;5;5;5;5;6;5;6;50,9;58,6;55,4;67,6;75,1;74,8;56,7;71,3;59,2;76,0;85,8;89,3;
KWSAtrika;2021;pastewny;2013;0;63,10;67;46,90;82;77;200;5;5;4;5;5;5;6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSFantex;2021;pastewny;2019;0;63,10;72,10;44,10;79;70;201;6;5;5;5;6;5;5;47,2;57,2;54,2;63,1;73,8;74,7;52,5;76,5;57,7;71,9;82,9;89,1;
KWSHarris;2021;pastewny;2016;0;63,10;68,50;44,90;73;75;200;4;6;5;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSVermont;2021;pastewny;2016;0;62,90;73,10;44,70;74;71;200;5;5;5;4;5;5;4;46,7;58,8;54,2;65,0;71,9;75,1;56,9;73,4;58,3;73,5;85,0;89,7;
Laser;2021;pastewny;2021;0;64,10;71,90;46,50;76;71;201;5;7;5;5;6;6;5;52,1;61,4;55,2;68,9;76,6;75,8;59,2;73,0;57,6;75,1;82,0;87,3;
Loxton;2021;pastewny;2021;0;64,10;73;42,60;70;75;200;5;6;6;5;6;6;5;52,8;61,0;55,7;68,0;72,4;70,2;61,2;72,1;58,3;74,6;83,9;81,9;
Lupus;2021;pastewny;2019;0;59,50;69,50;46,50;83;72;201;6;3;5;5;5;4;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Mariola;2021;pastewny;2020;0;63,90;73,30;44,10;73;71;200;5;5;5;5;6;5;6;52,1;56,2;56,9;69,0;72,5;73,8;59,2;70,5;60,0;79,7;83,7;89,4;
Mecenas;2021;pastewny;2019;0;63;71,90;47;80;76;200;5;3;5;5;5;4;6;50,3;59,6;55,4;65,9;74,3;71,8;51,1;70,5;57,6;74,6;82,4;86,3;
MHRFajter;2021;pastewny;2018;0;62,90;69,90;46,70;81;73;200;4;5;6;5;5;5;5;48,9;60,5;54,6;66,5;72,5;67,9;55,4;73,2;57,3;75,0;78,9;83,3;
MHRFilar;2021;pastewny;2019;0;61,10;69;45,90;74;68;200;6;3;5;5;5;4;5;47,9;63,0;53,8;65,0;70,3;69,9;52,3;72,5;56,9;69,1;79,5;79,3;
MHRKrajan;2021;pastewny;2019;0;60,40;68,90;43,50;72;71;201;5;3;4;6;5;4;5;48,2;60,9;51,6;64,8;67,1;73,1;54,1;70,9;56,5;70,7;77,5;83,1;
Pasjonat;2021;pastewny;2020;0;61,10;70,50;45,60;81;76;201;6;5;6;5;6;5;6;46,8;57,8;55,6;62,1;74,3;66,9;53,0;67,4;59,9;67,9;82,3;76,9;
